,n,token,lemma,pos
64,31,ἀναβαίνει,ἀναβαίνω,v3spia---
65,32,οὖν,οὖν,g--------
66,33,ὁ,ὁ,l-s---mn-
67,34,Κῦρος,Κῦρος,n-s---mn-
68,35,λαβὼν,λαμβάνω,v-sapamn-
69,36,Τισσαφέρνην,,n-s---fa-
70,37,ὡς,ὡς,c--------
71,38,φίλον,φίλος,a-s---ma-
72,39,",",",",u--------
73,40,καὶ,καί,d--------
74,41,τῶν,ὁ,l-p---mg-
75,42,Ἑλλήνων,Ἕλλην,n-p---mg-
76,43,ἔχων,ἔχω,v-sppamn-
77,44,ὁπλίτας,ὁπλίτης,n-p---ma-
78,45,ἀνέβη,ἀναβαίνω,v3saia---
79,46,τριακοσίους,τριακόσιοι,a-p---ma-
80,47,",",",",u--------
81,48,ἄρχοντα,ἄρχω,v-sppama-
82,49,δὲ,δέ,g--------
83,50,αὐτῶν,αὐτός,p-p---mg-
84,51,Ξενίαν,,n-s---fa-
85,52,Παρράσιον,Παρράσιος,n-s---ma-
86,53,.,.,u--------
87,1,ἐπεὶ,ἐπεί,c--------
88,2,δὲ,δέ,g--------
89,3,ἐτελεύτησε,τελευτάω,v3saia---
90,4,Δαρεῖος,Δαρεῖος,n-s---mn-
91,5,καὶ,καί,d--------
92,6,κατέστη,καθίστημι,v3saia---
93,7,εἰς,εἰς,r--------
94,8,τὴν,ὁ,l-s---fa-
95,9,βασιλείαν,βασιλεία,n-s---fa-
96,10,Ἀρταξέρξης,Ἀρταξέρξης,n-s---mn-
97,11,",",",",u--------
98,12,Τισσαφέρνης,,n-s---fg-
99,13,διαβάλλει,διαβάλλω,v3spia---
100,14,τὸν,ὁ,l-s---ma-
101,15,Κῦρον,Κῦρος,n-s---ma-
102,16,πρὸς,πρός,r--------
103,17,τὸν,ὁ,l-s---ma-
104,18,ἀδελφὸν,ἀδελφός,n-s---ma-
105,19,ὡς,ὡς,c--------
106,20,ἐπιβουλεύοι,ἐπιβουλεύω,v3spoa---
107,21,αὐτῷ,αὐτός,p-s---md-
108,22,.,.,u--------
109,23,ὁ,ὁ,l-s---mn-
110,24,δὲ,δέ,g--------
111,25,πείθεται,πείθω,v3spie---
112,26,καὶ,καί,d--------
113,27,συλλαμβάνει,συλλαμβάνω,v3spia---
114,28,Κῦρον,Κῦρος,n-s---ma-
115,29,ὡς,ὡς,c--------
116,30,ἀποκτενῶν,,a-p---mg-
117,31,·,·,u--------
118,32,ἡ,ὁ,p-s---fn-
119,33,δὲ,δέ,g--------
120,34,μήτηρ,μήτηρ,n-s---fn-
121,35,ἐξαιτησαμένη,ἐξαιτέω,v-sapmfn-
122,36,αὐτὸν,αὐτός,p-s---ma-
123,37,ἀποπέμπει,ἀποπέμπω,v3spia---
124,38,πάλιν,πάλιν,d--------
125,39,ἐπὶ,ἐπί,r--------
126,40,τὴν,ὁ,l-s---fa-
127,41,ἀρχήν,ἀρχή,n-s---fa-
128,42,.,.,u--------
129,1,ὁ,ὁ,l-s---mn-
130,2,δʼ,δέ,g--------
131,3,ὡς,ὡς,d--------
132,4,ἀπῆλθε,ἀπέρχομαι,v3saia---
133,5,κινδυνεύσας,κινδυνεύω,v-sapamn-
134,6,καὶ,καί,d--------
135,7,ἀτιμασθείς,ἀτιμάζω,v-sappmn-
136,8,",",",",u--------
137,9,βουλεύεται,βουλεύω,v3spie---
138,10,ὅπως,ὅπως,c--------
139,11,μήποτε,μήποτε,d--------
140,12,ἔτι,ἔτι,d--------
141,13,ἔσται,εἰμί,v3sfim---
142,14,ἐπὶ,ἐπί,r--------
143,15,τῷ,ὁ,l-s---md-
144,16,ἀδελφῷ,ἀδελφός,n-s---md-
145,17,",",",",u--------
146,18,ἀλλά,ἀλλά,c--------
147,19,",",",",u--------
148,20,ἢν,ἐάν,c--------
149,21,δύνηται,δύω,v3spse---
150,22,",",",",u--------
151,23,βασιλεύσει,βασιλεύω,v3sfia---
152,24,ἀντʼ,ἀντί,r--------
153,25,ἐκείνου,ἐκεῖνος,p-s---mg-
154,26,.,.,u--------
155,27,Παρύσατις,,n-s---mn-
156,28,μὲν,μέν,g--------
157,29,δὴ,δή,g--------
158,30,ἡ,ὁ,l-s---fn-
159,31,μήτηρ,μήτηρ,n-s---fn-
160,32,ὑπῆρχε,ὑπάρχω,v3siia---
161,33,τῷ,ὁ,l-s---md-
162,34,Κύρῳ,Κῦρος,n-s---md-
163,35,",",",",u--------
164,36,φιλοῦσα,,v-sapafn-
165,37,αὐτὸν,αὐτός,p-s---ma-
166,38,μᾶλλον,μᾶλλον,d--------
167,39,ἢ,τίη,d--------
168,40,τὸν,ὁ,l-s---ma-
169,41,βασιλεύοντα,βασιλεύω,v-sppama-
170,42,Ἀρταξέρξην,Ἀρταξέρξης,n-s---ma-
171,43,.,.,u--------
172,1,ὅστις,ὅστις,p-s---mn-
173,2,δʼ,δέ,g--------
174,3,ἀφικνεῖτο,ἀφικνέομαι,v3siie---
175,4,τῶν,ὁ,l-p---mg-
176,5,παρὰ,παρά,r--------
177,6,βασιλέως,βασιλεύς,n-s---mg-
178,7,πρὸς,πρός,r--------
179,8,αὐτὸν,αὐτός,p-s---ma-
180,9,πάντας,πᾶς,a-p---ma-
181,10,οὕτω,οὕτως,d--------
182,11,διατιθεὶς,,v-sappmn-
183,12,ἀπεπέμπετο,ἀποπέμπω,v3siie---
184,13,ὥστε,ὥστε,c--------
185,14,αὐτῷ,αὐτός,p-s---md-
186,15,μᾶλλον,μᾶλλον,d--------
187,16,φίλους,φίλος,a-p---ma-
188,17,εἶναι,εἰμί,v--pna---
189,18,ἢ,ἤ,c--------
190,19,βασιλεῖ,βασιλεύς,n-s---md-
191,20,.,.,u--------
192,21,καὶ,καί,d--------
193,22,τῶν,ὅς,p-p---mg-
194,23,παρʼ,,d--------
195,24,ἑαυτῷ,ἑαυτοῦ,p-s---md-
196,25,δὲ,δέ,g--------
197,26,βαρβάρων,,n-p---mg-
198,27,ἐπεμελεῖτο,ἐπιμελέομαι,v3siie---
199,28,ὡς,ὡς,c--------
200,29,πολεμεῖν,πολεμέω,v--pna---
201,30,τε,τε,d--------
202,31,ἱκανοὶ,ἱκανός,a-p---mn-
203,32,εἴησαν,εἰμί,v3ppoa---
204,33,καὶ,καί,d--------
205,34,εὐνοϊκῶς,εὐνοϊκός,d--------
206,35,ἔχοιεν,ἔχω,v3ppoa---
207,36,αὐτῷ,αὐτός,a-s---md-
208,37,.,.,u--------
209,1,τὴν,ὅς,p-s---fa-
210,2,δὲ,δέ,g--------
211,3,Ἑλληνικὴν,Ἑλληνικός,a-s---fa-
212,4,δύναμιν,δύναμις,n-s---fa-
213,5,ἥθροιζεν,ἀθροίζω,v3siia---
214,6,ὡς,ὡς,c--------
215,7,μάλιστα,μάλιστα,d--------
216,8,ἐδύνατο,δύναμαι,v3siie---
217,9,ἐπικρυπτόμενος,ἐπικρύπτω,v-sppemn-
218,10,",",",",u--------
219,11,ὅπως,ὅπως,c--------
220,12,ὅτι,ὅτι2,c--------
221,13,ἀπαρασκευότατον,ἀπαράσκευος,a-s---nns
222,14,λάβοι,λαμβάνω,v3saoa---
223,15,βασιλέα,βασιλεύς,n-s---ma-
224,16,.,.,u--------
225,17,ὧδε,ὧδε,d--------
226,18,οὖν,οὖν,g--------
227,19,ἐποιεῖτο,ποιέω,v3siie---
228,20,τὴν,ὁ,l-s---fa-
229,21,συλλογήν,συλλογή,n-s---fa-
230,22,.,.,u--------
231,23,ὁπόσας,,v-sapamn-
232,24,εἶχε,ἔχω,v3siia---
233,25,φυλακὰς,φυλακή,n-p---fa-
234,26,ἐν,ἐν,r--------
235,27,ταῖς,ὁ,l-p---fd-
236,28,πόλεσι,πόλις,n-p---fd-
237,29,παρήγγειλε,παραγγέλλω,v3saia---
238,30,τοῖς,ὁ,l-p---md-
239,31,φρουράρχοις,φρούραρχος,n-p---md-
240,32,ἑκάστοις,ἕκαστος,a-p---md-
241,33,λαμβάνειν,λαμβάνω,v--pna---
242,34,ἄνδρας,ἀνήρ,n-p---ma-
243,35,Πελοποννησίους,,n-p---ma-
244,36,ὅτι,ὅτι2,c--------
245,37,πλείστους,πλεῖστος,a-p---ma-
246,38,καὶ,καί,d--------
247,39,βελτίστους,βέλτιστος,a-p---ma-
248,40,",",",",u--------
249,41,ὡς,ὡς,c--------
250,42,ἐπιβουλεύοντος,ἐπιβουλεύω,v-sppamg-
251,43,Τισσαφέρνους,Τισσαφέρνης,n-s---mg-
252,44,ταῖς,ὁ,l-p---fd-
253,45,πόλεσι,πόλις,n-p---fd-
254,46,.,.,u--------
255,47,καὶ,καί,d--------
256,48,γὰρ,γάρ,g--------
257,49,ἦσαν,εἰμί,v3piia---
258,50,αἱ,ὁ,l-p---fn-
259,51,Ἰωνικαὶ,Ἰωνικός,a-p---fn-
260,52,πόλεις,πόλις,n-p---fn-
261,53,Τισσαφέρνους,Τισσαφέρνης,n-s---mg-
262,54,τὸ,ὁ,l-s---na-
263,55,ἀρχαῖον,ἀρχαῖος,a-s---na-
264,56,ἐκ,ἐκ,r--------
265,57,βασιλέως,βασιλεύς,n-s---mg-
266,58,δεδομέναι,δίδωμι,v-prpefn-
267,59,",",",",u--------
268,60,τότε,τότε,d--------
269,61,δὲ,δέ,g--------
270,62,ἀφειστήκεσαν,,v1spoa---
271,63,πρὸς,πρός,r--------
272,64,Κῦρον,Κῦρος,n-s---ma-
273,65,πᾶσαι,πᾶς,a-p---fn-
274,66,πλὴν,πλήν,r--------
275,67,Μιλήτου,Μίλητος,n-s---fg-
276,68,·,·,u--------
277,1,ἐν,ἐν,r--------
278,2,Μιλήτῳ,Μίλητος,n-s---fd-
279,3,δὲ,δέ,g--------
280,4,Τισσαφέρνης,Τισσαφέρνης,n-s---mn-
281,5,προαισθόμενος,προαισθάνομαι,v-sapmmn-
282,6,τὰ,ὁ,l-p---na-
283,7,αὐτὰ,αὐτός,a-p---na-
284,8,ταῦτα,οὗτος,a-p---na-
285,9,βουλευομένους,βουλεύω,v-pppema-
286,10,ἀποστῆναι,ἀφίστημι,v--ana---
287,11,πρὸς,πρός,r--------
288,12,Κῦρον,Κῦρος,n-s---ma-
289,13,",",",",u--------
290,14,τοὺς,ὅς,p-p---ma-
291,15,μὲν,μέν,g--------
292,16,αὐτῶν,αὐτός,p-p---mg-
293,17,ἀπέκτεινε,ἀποκτείνω,v3saia---
294,18,τοὺς,ὁ,l-p---ma-
295,19,δʼ,δέ,g--------
296,20,ἐξέβαλεν,ἐκβάλλω,v3saia---
297,21,.,.,u--------
298,22,ὁ,ὁ,l-s---mn-
299,23,δὲ,δέ,g--------
300,24,Κῦρος,Κῦρος,n-s---mn-
301,25,ὑπολαβὼν,ὑπολαμβάνω,v-sapamn-
302,26,τοὺς,ὁ,l-p---ma-
303,27,φεύγοντας,φεύγω,v-pppama-
304,28,συλλέξας,συλλέγω,v-sapamn-
305,29,στράτευμα,στράτευμα,n-s---na-
306,30,ἐπολιόρκει,πολιορκέω,v3siia---
307,31,Μίλητον,Μίλητος,n-s---fa-
308,32,καὶ,καί,d--------
309,33,κατὰ,κατά,r--------
310,34,γῆν,γῆ,n-s---fa-
311,35,καὶ,καί,d--------
312,36,κατὰ,κατά,r--------
313,37,θάλατταν,θάλασσα,n-s---fa-
314,38,καὶ,καί,d--------
315,39,ἐπειρᾶτο,πειράω,v3siie---
316,40,κατάγειν,κατάγω,v--pna---
317,41,τοὺς,ὁ,l-p---ma-
318,42,ἐκπεπτωκότας,ἐκπίπτω,v-prpama-
319,43,.,.,u--------
320,44,καὶ,καί,d--------
321,45,αὕτη,οὗτος,p-s---fn-
322,46,αὖ,αὖ,d--------
323,47,ἄλλη,ἄλλος,a-s---fn-
324,48,πρόφασις,πρόφασις,n-s---fn-
325,49,ἦν,εἰμί,v3siia---
326,50,αὐτῷ,αὐτός,p-s---md-
327,51,τοῦ,ὁ,l-s---mg-
328,52,ἁθροίζειν,ἀθροίζω,v--pna---
329,53,στράτευμα,στράτευμα,n-s---na-
330,54,.,.,u--------
331,1,πρὸς,πρός,r--------
332,2,δὲ,δέ,g--------
333,3,βασιλέα,βασιλεύς,n-s---ma-
334,4,πέμπων,πέμπω,v-sppamn-
335,5,ἠξίου,ἀξιόω,v3siia---
336,6,ἀδελφὸς,ἀδελφός,n-s---mn-
337,7,ὢν,εἰμί,v-sppamn-
338,8,αὐτοῦ,αὐτός,d--------
339,9,δοθῆναι,δίδωμι,v--anp---
340,10,οἷ,οἷ2,d--------
341,11,ταύτας,οὗτος,a-p---fa-
342,12,τὰς,ὁ,l-p---fa-
343,13,πόλεις,πόλις,n-p---fa-
344,14,μᾶλλον,μᾶλλον,d--------
345,15,ἢ,ἤ,c--------
346,16,Τισσαφέρνην,Τισσαφέρνης,n-s---ma-
347,17,ἄρχειν,ἄρχω,v--pna---
348,18,αὐτῶν,αὐτός,p-p---mg-
349,19,",",",",u--------
350,20,καὶ,καί,d--------
351,21,ἡ,ὁ,l-s---fn-
352,22,μήτηρ,μήτηρ,n-s---fn-
353,23,συνέπραττεν,συμπράσσω,v3siia---
354,24,αὐτῷ,αὐτός,p-s---md-
355,25,ταῦτα,οὗτος,p-p---na-
356,26,·,·,u--------
357,27,ὥστε,ὡς,d--------
358,28,βασιλεὺς,βασιλεύς,n-s---mn-
359,29,τὴν,ὁ,l-s---fa-
360,30,μὲν,μέν,g--------
361,31,πρὸς,πρός,r--------
362,32,ἑαυτὸν,ἑαυτοῦ,p-s---ma-
363,33,ἐπιβουλὴν,ἐπιβουλή,n-s---fa-
364,34,οὐκ,οὐ,d--------
365,35,ᾐσθάνετο,,v3siie---
366,36,",",",",u--------
367,37,Τισσαφέρνει,Τισσαφέρνης,n-s---md-
368,38,δʼ,δέ,g--------
369,39,ἐνόμιζε,νομίζω,v3siia---
370,40,πολεμοῦντα,πολεμόω,v-sppama-
371,41,αὐτὸν,αὐτός,p-s---ma-
372,42,ἀμφὶ,ἀμφί,r--------
373,43,τὰ,ὁ,l-p---na-
374,44,στρατεύματα,στράτευμα,n-p---na-
375,45,δαπανᾶν,δαπανάω,v--pna---
376,46,·,·,u--------
377,47,ὥστε,ὡς,d--------
378,48,οὐδὲν,,p-s---na-
379,49,ἤχθετο,ἔχθω,v3siie---
380,50,αὐτῶν,αὐτός,p-p---mg-
381,51,πολεμούντων,πολεμόω,v-pppamg-
382,52,.,.,u--------
383,53,καὶ,καί,d--------
384,54,γὰρ,γάρ,g--------
385,55,ὁ,ὁ,l-s---mn-
386,56,Κῦρος,Κῦρος,n-s---mn-
387,57,ἀπέπεμπε,ἀποπέμπω,v3siia---
388,58,τοὺς,ὁ,l-p---ma-
389,59,γιγνομένους,,v-pppema-
390,60,δασμοὺς,δασμός,n-p---ma-
391,61,βασιλεῖ,βασιλεύς,n-s---md-
392,62,ἐκ,ἐκ,r--------
393,63,τῶν,ὁ,l-p---fg-
394,64,πόλεων,πόλις,n-p---fg-
395,65,ὧν,ὅς2,p-p---mg-
396,66,Τισσαφέρνους,,n-p---ma-
397,67,ἐτύγχανεν,τυγχάνω,v3siia---
398,68,ἔχων,ἔχω,v-sppamn-
399,69,.,.,u--------
400,1,ἄλλο,ἄλλος,a-s---na-
401,2,δὲ,δέ,g--------
402,3,στράτευμα,στράτευμα,n-s---na-
403,4,αὐτῷ,αὐτός,p-s---md-
404,5,συνελέγετο,συλλέγω,v3siie---
405,6,ἐν,ἐν,r--------
406,7,Χερρονήσῳ,Χερσόνησος,n-s---fd-
407,8,τῇ,ὅς,d--------
408,9,κατʼ,,v1saia---
409,10,ἀντιπέρας,,v2saia---
410,11,Ἀβύδου,,n-s---mg-
411,12,τόνδε,ὅδε,p-s---ma-
412,13,τὸν,ὁ,l-s---ma-
413,14,τρόπον,τρόπος,n-s---ma-
414,15,.,.,u--------
415,16,Κλέαρχος,Κλέαρχος,n-s---mn-
416,17,Λακεδαιμόνιος,Λακεδαιμόνιος,a-s---mn-
417,18,φυγὰς,,n-s---mn-
418,19,ἦν,εἰμί,v3siia---
419,20,·,·,u--------
420,21,τούτῳ,οὗτος,p-s---md-
421,22,συγγενόμενος,συγγίγνομαι,v-sapmmn-
422,23,ὁ,ὁ,l-s---mn-
423,24,Κῦρος,Κῦρος,n-s---mn-
424,25,ἠγάσθη,ἄγαμαι,v3saip---
425,26,τε,τε,d--------
426,27,αὐτὸν,αὐτός,p-s---ma-
427,28,καὶ,καί,d--------
428,29,δίδωσιν,δίδωμι,v3spia---
429,30,αὐτῷ,αὐτός,p-s---md-
430,31,μυρίους,μυρίος,a-p---ma-
431,32,δαρεικούς,Δαρεικός,a-p---ma-
432,33,.,.,u--------
433,34,ὁ,ὁ,l-s---mn-
434,35,δὲ,δέ,g--------
435,36,λαβὼν,λαμβάνω,v-sapamn-
436,37,τὸ,ὁ,l-s---na-
437,38,χρυσίον,χρυσίον,n-s---na-
438,39,στράτευμα,στράτευμα,n-s---na-
439,40,συνέλεξεν,συλλέγω,v3saia---
440,41,ἀπὸ,ἀπό,r--------
441,42,τούτων,οὗτος,a-p---ng-
442,43,τῶν,ὁ,l-p---ng-
443,44,χρημάτων,χρῆμα,n-p---ng-
444,45,καὶ,καί,c--------
445,46,ἐπολέμει,πολεμέω,v3siia---
446,47,ἐκ,ἐκ,r--------
447,48,Χερρονήσου,Χερσόνησος,n-s---fg-
448,49,ὁρμώμενος,ὁρμάω,v-sppemn-
449,50,τοῖς,ὁ,l-p---md-
450,51,Θρᾳξὶ,,d--------
451,52,τοῖς,ὁ,l-p---md-
452,53,ὑπὲρ,ὑπέρ,r--------
453,54,Ἑλλήσποντον,Ἑλλήσποντος,n-s---ma-
454,55,οἰκοῦσι,οἰκέω,v-pppamd-
455,56,καὶ,καί,c--------
456,57,ὠφέλει,ὠφελέω,v3siia---
457,58,τοὺς,ὁ,l-p---ma-
458,59,Ἕλληνας,Ἕλλην,n-p---ma-
459,60,·,·,u--------
460,61,ὥστε,ὥστε,c--------
461,62,καὶ,καί,d--------
462,63,χρήματα,χρῆμα,n-p---na-
463,64,συνεβάλλοντο,συμβάλλω,v3piie---
464,65,αὐτῷ,αὐτός,p-s---md-
465,66,εἰς,εἰς,r--------
466,67,τὴν,ὁ,l-s---fa-
467,68,τροφὴν,τροφή,n-s---fa-
468,69,τῶν,ὁ,l-p---mg-
469,70,στρατιωτῶν,στρατιώτης,n-p---mg-
470,71,αἱ,ὁ,l-p---fn-
471,72,Ἑλλησποντιακαὶ,Ἑλλησποντιακός,a-p---fn-
472,73,πόλεις,πόλις,n-p---fn-
473,74,ἑκοῦσαι,,n-p---fn-
474,75,.,.,u--------
475,76,τοῦτο,οὗτος,p-s---na-
476,77,δʼ,δέ,g--------
477,78,αὖ,αὖ,d--------
478,79,οὕτω,οὕτως,d--------
479,80,τρεφόμενον,τρέφω,v-sppema-
480,81,ἐλάνθανεν,λανθάνω,v3siia---
481,82,αὐτῷ,αὐτός,p-s---md-
482,83,τὸ,ὁ,l-s---na-
483,84,στράτευμα,στράτευμα,n-s---na-
484,85,.,.,u--------
485,1,Ἀρίστιππος,Ἀρίστιππος,n-s---mn-
486,2,δὲ,δέ,g--------
487,3,ὁ,ὁ,l-s---mn-
488,4,Θετταλὸς,Θεσσαλός,n-s---mn-
489,5,ξένος,ξένος,a-s---mn-
490,6,ὢν,εἰμί,v-sppamn-
491,7,ἐτύγχανεν,τυγχάνω,v3siia---
492,8,αὐτῷ,αὐτός,p-s---md-
493,9,",",",",u--------
494,10,καὶ,καί,c--------
495,11,πιεζόμενος,πιέζω,v-sppemn-
496,12,ὑπὸ,ὑπό,r--------
497,13,τῶν,ὁ,l-p---mg-
498,14,οἴκοι,οἶκος,d--------
499,15,ἀντιστασιωτῶν,ἀντιστασιώτης,n-p---mg-
500,16,ἔρχεται,ἔρχομαι,v3spie---
501,17,πρὸς,πρός,r--------
502,18,τὸν,ὁ,l-s---ma-
503,19,Κῦρον,Κῦρος,n-s---ma-
504,20,καὶ,καί,d--------
505,21,αἰτεῖ,αἰτέω,v3spia---
506,22,αὐτὸν,αὐτός,p-s---ma-
507,23,εἰς,εἰς,r--------
508,24,δισχιλίους,δισχίλιοι,a-p---ma-
509,25,ξένους,ξένος,n-p---ma-
510,26,καὶ,καί,d--------
511,27,τριῶν,,a-p---mg-
512,28,μηνῶν,μείς,n-p---mg-
513,29,μισθόν,μισθός,n-s---ma-
514,30,",",",",u--------
515,31,ὡς,ὡς,c--------
516,32,οὕτως,οὕτως,d--------
517,33,περιγενόμενος,,v-sppemn-
518,34,ἂν,ἀνά,r--------
519,35,τῶν,ὁ,l-p---mg-
520,36,ἀντιστασιωτῶν,ἀντιστασιώτης,n-p---mg-
521,37,.,.,u--------
522,38,ὁ,ὁ,l-s---mn-
523,39,δὲ,δέ,g--------
524,40,Κῦρος,Κῦρος,n-s---mn-
525,41,δίδωσιν,δίδωμι,v3spia---
526,42,αὐτῷ,αὐτός,p-s---md-
527,43,εἰς,εἰς,r--------
528,44,τετρακισχιλίους,τετρακισχίλιοι,a-p---ma-
529,45,καὶ,καί,d--------
530,46,ἓξ,,a--------
531,47,μηνῶν,μείς,n-p---mg-
532,48,μισθόν,μισθός,n-s---ma-
533,49,",",",",u--------
534,50,καὶ,καί,d--------
535,51,δεῖται,δέω2,v3spie---
536,52,αὐτοῦ,αὐτός,d--------
537,53,μὴ,μή,d--------
538,54,πρόσθεν,πρόσθεν,d--------
539,55,καταλῦσαι,καταλύω,v--ana---
540,56,πρὸς,πρός,r--------
541,57,τοὺς,ὁ,l-p---ma-
542,58,ἀντιστασιώτας,ἀντιστασιώτης,n-p---ma-
543,59,πρὶν,πρίν,c--------
544,60,ἂν,ἄν,g--------
545,61,αὐτῷ,αὐτός,p-s---md-
546,62,συμβουλεύσηται,συμβουλεύω,v3sasm---
547,63,.,.,u--------
548,64,οὕτω,οὕτως,d--------
549,65,δὲ,δέ,g--------
550,66,αὖ,αὖ,d--------
551,67,τὸ,ὁ,l-s---na-
552,68,ἐν,ἐν,r--------
553,69,Θετταλίᾳ,Θεσσαλία,n-s---fd-
554,70,ἐλάνθανεν,λανθάνω,v3siia---
555,71,αὐτῷ,αὐτός,p-s---md-
556,72,τρεφόμενον,,a-s---na-
557,73,στράτευμα,στράτευμα,n-s---na-
558,74,.,.,u--------
559,1,Πρόξενον,Πρόξενος,n-s---ma-
560,2,δὲ,δέ,g--------
561,3,τὸν,ὁ,l-s---ma-
562,4,Βοιώτιον,Βοιώτιος,a-s---ma-
563,5,ξένον,ξένος,a-s---ma-
564,6,ὄντα,εἰμί,v-sppama-
565,7,ἐκέλευσε,κελεύω,v3saia---
566,8,λαβόντα,λαμβάνω,v-sapama-
567,9,ἄνδρας,ἀνήρ,n-p---ma-
568,10,ὅτι,ὅτι2,c--------
569,11,πλείστους,πλεῖστος,a-p---ma-
570,12,παραγενέσθαι,παραγίγνομαι,v--anm---
571,13,",",",",u--------
572,14,ὡς,ὡς,c--------
573,15,ἐς,εἰς,r--------
574,16,Πισίδας,,n-s---mn-
575,17,βουλόμενος,,v-sppemn-
576,18,στρατεύεσθαι,στρατεύω,v--pne---
577,19,",",",",u--------
578,20,ὡς,ὡς,c--------
579,21,πράγματα,πρᾶγμα,n-p---na-
580,22,παρεχόντων,παρέχω,v-pppamg-
581,23,τῶν,ὁ,l-p---mg-
582,24,Πισιδῶν,,n-p---mg-
583,25,τῇ,ὁ,l-s---fd-
584,26,ἑαυτοῦ,ἑαυτοῦ,p-s---mg-
585,27,χώρᾳ,χώρα,n-s---fd-
586,28,.,.,u--------
587,29,Σοφαίνετον,Σοφαίνετος,n-s---ma-
588,30,δὲ,δέ,g--------
589,31,τὸν,ὁ,l-s---ma-
590,32,Στυμφάλιον,Στυμφάλιος,a-s---ma-
591,33,καὶ,καί,d--------
592,34,Σωκράτην,Σωκράτης,n-s---ma-
593,35,τὸν,ὁ,l-s---ma-
594,36,Ἀχαιόν,Ἀχαιός,a-s---ma-
595,37,",",",",u--------
596,38,ξένους,ξένος,a-p---ma-
597,39,ὄντας,εἰμί,v-pppama-
598,40,καὶ,καί,d--------
599,41,τούτους,οὗτος,p-p---ma-
600,42,",",",",u--------
601,43,ἐκέλευσεν,κελεύω,v3saia---
602,44,ἄνδρας,ἀνήρ,n-p---ma-
603,45,λαβόντας,λαμβάνω,v-papama-
604,46,ἐλθεῖν,ἔρχομαι,v--ana---
605,47,ὅτι,ὅτι2,c--------
606,48,πλείστους,πλεῖστος,a-p---ma-
607,49,",",",",u--------
608,50,ὡς,ὡς,c--------
609,51,πολεμήσων,πολεμέω,v-sfpamn-
610,52,Τισσαφέρνει,,m-p---m--
611,53,σὺν,σύν,r--------
612,54,τοῖς,ὁ,l-p---md-
613,55,φυγάσι,φυγάς,n-p---md-
614,56,τοῖς,ὁ,l-p---md-
615,57,Μιλησίων,,n-p---mg-
616,58,.,.,u--------
617,59,καὶ,καί,d--------
618,60,ἐποίουν,ποιέω,v3piia---
