token = ἀρθέντʼ   lemma = ἀραρίσκω
token = γʼ   lemma = γε

token = κοινωνὸς   lemma = κοινωνός

token = ὧδʼ   lemma = ὧδε

token = Χορός   lemma = χορός

token = μου   lemma = ἐγώ

token = με   lemma = ἐγώ

token = τὰν   lemma = ὁ

token = ἵνʼ   lemma = ἵνα

token = μέμυ   lemma =  Search corpus for this form only: μέμυ

token = κε   lemma = ἄν

token = νεύονθʼ   lemma = νεύω

token = τοῦτʼ   lemma = οὗτος

token = μηδʼ   lemma = μηδέ

token = γένηται   lemma = γίγνομαι

token = Χορός   lemma = χορός

token = ἴδοιτο   lemma = ὁράω

token = σὺ   lemma = σύ

token = ὀψιγόνου   lemma = ὀψίγονος

token = αἰδόμενος   lemma = αἰδέομαι

token = ἱεροδόκα   lemma = ἱεροδόκος

token = λήματʼ   lemma = λῆμα

token = ἀπʼ   lemma = ἀπό

token = κάθησθε   lemma = κάθημαι

token = ἐγὼ   lemma = ἐγώ

token = κραίνοιμʼ   lemma = κραίνω

token = ὑπόσχεσιν   lemma = ὑπόσχεσις

token = Χορός   lemma = χορός

token = οὐδʼ   lemma = οὐδέ

token = τόδʼ   lemma = ὅδε

token = μʼ   lemma = ἐγώ

token = φρένας   lemma = φρήν

token = Χορός   lemma = χορός

token = σκοπὸν   lemma = σκοπός

token = προσήμενοι   lemma = πρόσημαι

token = σε   lemma = σύ

token = Χορός   lemma = χορός

token = ποτʼ   lemma = ποτε

token = ἀρσένων   lemma = ἄρσην

token = ἑλόμενος   lemma = αἱρέω

token = μʼ   lemma = ἐγώ

token = Χορός   lemma = χορός

token = μεταλ   lemma =  Search corpus for this form only: μεταλ

token = γεῖς   lemma =  Search corpus for this form only: γεῖς

token = μηδʼ   lemma = μηδέ

token = αὐτοῖσί   lemma = αὐτός

token = θʼ   lemma = σύ

token = ἡμῖν   lemma = ἡμεῖς

token = μήτʼ   lemma = μήτε

token = ὧδʼ   lemma = ὧδε

token = θεὸν   lemma = θεός

token = οὐδʼ   lemma = οὐδέ

token = Χορός   lemma = χορός

token = τὰν   lemma = ὁ

token = τὰν   lemma = ὁ

token = Χορός   lemma = χορός

token = μʼ   lemma = ἐγώ

token = ῥυσια   lemma =  Search corpus for this form only: ῥυσια

token = σθεῖσαν   lemma =  Search corpus for this form only: σθεῖσαν

token = Χορός   lemma = χορός

token = τὰν   lemma = ὁ

token = τʼ   lemma = σύ

token = Χορός   lemma = χορός

token = παισὶ   lemma = παῖς

token = ὁπότερʼ   lemma = ὁπότερος

token = φράσαι   lemma = φράζω

token = πᾶσʼ   lemma = πᾶς

token = ἔστʼ   lemma = ἔστε

token = ναυτικαῖσιν   lemma = ναυτικός

token = μέγʼ   lemma = μέγας

token = γένοιτʼ   lemma = γίγνομαι

token = γένοιτο   lemma = γίγνομαι

token = γένοιτο   lemma = γίγνομαι

token = με   lemma = ἐγώ

token = τάχʼ   lemma = τάχα

token = τίνʼ   lemma = τίνω

token = γηρυθεῖσʼ   lemma = γηρύω

token = ἔσῃ   lemma = εἰμί

token = πιστὸν   lemma = πιστόν

token = τῷδʼ   lemma = ὅδε

token = σοι   lemma = σύ

token = αἰνιγματῶδες   lemma = αἰνιγματώδης

token = ἀλλʼ   lemma = ἀλλά

token = τάχιστʼ   lemma = ταχύς

token = μάλʼ   lemma = μάλα

token = τόδʼ   lemma = ὅδε

token = ὑμῖν   lemma = ὑμεῖς

token = μὴ   lemma = μή

token = τόδʼ   lemma = ὅδε

token = παισὶν   lemma = παῖς

token = αἶψʼ   lemma = αἶψα

token = ἐπʼ   lemma = ἐπί

token = μηδʼ   lemma = μηδέ

token = ἐμοῦ   lemma = ἐγώ

token = ἥσσοσιν   lemma = ἥσσων

token = ἡμῖν   lemma = ἡμεῖς

token = τʼ   lemma = σύ

token = διʼ   lemma = διά

token = στείχοιτʼ   lemma = στείχω

token = ἡγεῖσθε   lemma =  Search corpus for this form only: ἡγεῖσθε

token = χρεὼν   lemma = χρεών

token = ἐγὼ   lemma = ἐγώ

token = ἐμοί   lemma = ἐγώ

token = κατʼ   lemma =  Search corpus for this form only: κατʼ

token = με   lemma =  Search corpus for this form only: με

token = σʼ   lemma = σός

token = ἀλλʼ   lemma = ἀλλά

token = δρακόντων   lemma = δέρκομαι

token = ἐχθίοσιν   lemma = ἐχθρός

token = γʼ   lemma = γε

token = ἀλλʼ   lemma = ἀλλά

token = ἐγὼ   lemma = ἐγώ

token = σὸν   lemma = σός

token = θεοὺς   lemma = θεός

token = λιταῖς   lemma = λιτή

token = παραιτοῦ   lemma = παραιτέομαι

token = σʼ   lemma = σός

token = ἐγὼ   lemma = ἐγώ

token = ἕποιτο   lemma = ἕπομαι

token = Χορός   lemma = χορός

token = τὰν   lemma = ὁ

token = Χορός   lemma = χορός

token = εὔφρονʼ   lemma = εὔφρων

token = εὐχόμεθʼ   lemma = εὔχομαι

token = τᾶσδʼ   lemma = ὅδε

token = Χορός   lemma = χορός

token = διατέμ   lemma =  Search corpus for this form only: διατέμ

token = νουσα   lemma =  Search corpus for this form only: νουσα

token = Χορός   lemma = χορός

token = Ἀσίδος   lemma = Ἀσίς

token = διʼ   lemma = διά

token = Κιλίκων   lemma = Κίλιξ

token = Παμφύλων   lemma = Πάμφυλος

token = διορνυμένα   lemma = διόρνυμαι

token = τὰν   lemma = ὁ

token = Χορός   lemma = χορός

token = σινουμένα   lemma = σίνομαι

token = μαινομένα   lemma = μαίνομαι

token = ἀτί   lemma =  Search corpus for this form only: ἀτί

token = μοις   lemma =  Search corpus for this form only: μοις

token = κεντροδα   lemma =  Search corpus for this form only: κεντροδα

token = λήτισι   lemma =  Search corpus for this form only: λήτισι

token = Χορός   lemma = χορός

token = τὰν   lemma = ὁ

token = τὰν   lemma = ὁ

token = θέλ   lemma =  Search corpus for this form only: θέλ

token = ξας   lemma =  Search corpus for this form only: ξας

token = Χορός   lemma = χορός

token = διʼ   lemma = διά

token = κρέων   lemma = κρέων

token = ἀπο   lemma =  Search corpus for this form only: ἀπο

token = γείνατο   lemma = γείνομαι

token = παῖδʼ   lemma = παῖς

token = Χορός   lemma = χορός

token = Ἥ   lemma = ὁ

token = ρας   lemma =  Search corpus for this form only: ρας

token = Χορός   lemma = χορός

token = τίνʼ   lemma = τίνω

token = ἐπʼ   lemma = ἐπί

token = φυτουργὸς   lemma = φυτουργός

token = Χορός   lemma = χορός

token = ὑπʼ   lemma = ὑπό

token = τινος   lemma = τις

token = ἡμένου   lemma = ἧμαι

token = φίλτατʼ   lemma = φίλος

token = ἐμοί   lemma = ἐγώ

token = ἡμῖν   lemma = ἡμεῖς

token = ἀλλʼ   lemma = ἀλλά

token = με   lemma = ἐγώ

token = ἡμᾶς   lemma = ἡμεῖς

token = τʼ   lemma = σύ

token = μήτʼ   lemma = μήτε

token = μήτʼ   lemma = μήτε

token = τινὰ   lemma = τις

token = ἡμῶν   lemma = ἡμεῖς

token = θʼ   lemma = σύ

token = ἐπʼ   lemma = ἐπί

token = ἐπʼ   lemma = ἐπί

token = τέρμονʼ   lemma = τέρμων

token = Χορός   lemma = χορός

token = θεοὶ   lemma = θεός

token = εὐ   lemma =  Search corpus for this form only: εὐ

token = κταῖα   lemma =  Search corpus for this form only: κταῖα

token = Ἄπη   lemma =  Search corpus for this form only: Ἄπη

token = θερί   lemma =  Search corpus for this form only: θερί

token = ζοντα   lemma =  Search corpus for this form only: ζοντα

token = ἡμᾶς   lemma = ἡμεῖς

token = τάνδʼ   lemma = ὅδε

token = Χορός   lemma = χορός

token = ἀρσένων   lemma = ἄρσην

token = ἀτιμώ   lemma =  Search corpus for this form only: ἀτιμώ

token = σαντες   lemma =  Search corpus for this form only: σαντες

token = σκοπὸν   lemma = σκοπός

token = ἐπʼ   lemma = ἐπί

token = μιαί   lemma =  Search corpus for this form only: μιαί

token = νοντα   lemma =  Search corpus for this form only: νοντα

token = βω   lemma =  Search corpus for this form only: βω

token = μοῖς   lemma =  Search corpus for this form only: μοῖς

token = θεοὺς   lemma = θεός

token = Χορός   lemma = χορός

token = τοιγὰρ   lemma = τοιγάρ

token = σθω   lemma =  Search corpus for this form only: σθω

token = μηδʼ   lemma = μηδέ

token = ρης   lemma =  Search corpus for this form only: ρης

token = Χορός   lemma = χορός

token = πρε   lemma =  Search corpus for this form only: πρε

token = σβυτοδόκοι   lemma =  Search corpus for this form only: σβυτοδόκοι

token = γεμόν   lemma =  Search corpus for this form only: γεμόν

token = των   lemma =  Search corpus for this form only: των

token = Ζῆνα   lemma =  Search corpus for this form only: Ζῆνα

token = εὐχόμεθʼ   lemma =  Search corpus for this form only: εὐχόμεθʼ

token = κῶν   lemma =  Search corpus for this form only: κῶν

token = Χορός   lemma = χορός

token = ἀνδροκμὴς   lemma = ἀνδροκμής

token = ἀκίθαριν   lemma = ἀκίθαρις

token = τʼ   lemma = σύ

token = στω   lemma =  Search corpus for this form only: στω

token = Χορός   lemma = χορός

token = τʼ   lemma = σύ

token = τʼ   lemma = σύ

token = φερέ   lemma =  Search corpus for this form only: φερέ

token = σθω   lemma =  Search corpus for this form only: σθω

token = φιλοφόρμιγξ   lemma = φιλοφόρμιγξ

token = Χορός   lemma = χορός

token = τʼ   lemma = σύ

token = τʼ   lemma = σύ

token = Χορός   lemma = χορός

token = θεοὺς   lemma = θεός

token = τόδʼ   lemma = ὅδε

token = θεσμίοις   lemma = θέσμιος

token = ὑμεῖς   lemma = ὑμεῖς

token = τρέσητʼ   lemma = τρέω

token = με   lemma = ἐγώ

token = βλέπουσʼ   lemma = βλέπω

token = θʼ   lemma = σύ

token = ἡγεμὼν   lemma = ἡγεμών

token = ἀλλʼ   lemma = ἀλλά

token = πρᾶγμʼ   lemma = πρᾶγμα

token = ἐγὼ   lemma = ἐγώ

token = ξυνδίκους   lemma = σύνδικος

token = ἀλλʼ   lemma = ἀλλά

token = ἔσται   lemma = εἰμί

token = νιν   lemma = νιν

token = λαθέσθαι   lemma = λανθάνω

token = τʼ   lemma = σύ

token = θεοὺς   lemma = θεός

token = μέσῳ   lemma = μέσος

token = Χορός   lemma = χορός

token = μʼ   lemma = ἐγώ

token = μοι   lemma = ἐγώ

token = τελεία   lemma = τέλειος

token = σάφʼ   lemma = σαφής

token = ἐγώ   lemma = ἐγώ

token = Χορός   lemma = χορός

token = μάργον   lemma = μάργος

token = τʼ   lemma = σύ

token = Χορός   lemma = χορός

token = βραχίονʼ   lemma = βραχίων

token = Χορός   lemma = χορός

token = μονωθεῖσʼ   lemma = μονόω

token = οὐδέν   lemma = οὐδείς

token = Χορός   lemma = χορός

token = βω   lemma =  Search corpus for this form only: βω

token = ἡμῖν   lemma = ἡμεῖς

token = ταῦτʼ   lemma = οὗτος

token = Χορός   lemma = χορός

token = ἡμῶν   lemma = ἡμεῖς

token = χεῖρʼ   lemma = χείρ

token = Χορός   lemma = χορός

token = μεμαργωμένοι   lemma = μαργόομαι

token = ἀλλʼ   lemma = ἀλλά

token = οὐδʼ   lemma = οὐδέ

token = γένοιτʼ   lemma = γίγνομαι

token = γέρονθʼ   lemma = γέρων

token = Χορός   lemma = χορός

token = Χορός   lemma = χορός

token = μου   lemma = ἐγώ

token = μʼ   lemma = ἐγώ

token = βρόχου   lemma = βρόχος

token = πρόπαρ   lemma = πρόπαρ

token = θανούσας   lemma = ἀποθνῄσκω

token = Ἀίδας   lemma = ᾍδης

token = Χορός   lemma = χορός

token = μοι   lemma = ἐγώ

token = γένοιτʼ   lemma = γίγνομαι

token = ἀπρόσ   lemma =  Search corpus for this form only: ἀπρόσ

token = δεικτος   lemma =  Search corpus for this form only: δεικτος

token = μοι   lemma = ἐγώ

token = δαΐκτορος   lemma = δαϊκτήρ

token = Χορός   lemma = χορός

token = κυσὶν   lemma = κύων

token = ἀναίνομαι   lemma = ἀναίνομαι

token = ἐλευθεροῦ   lemma = ἐλευθερόω

token = ται   lemma =  Search corpus for this form only: ται

token = τας   lemma =  Search corpus for this form only: τας

token = τίνʼ   lemma = τίνω

token = Χορός   lemma = χορός

token = μοι   lemma = ἐγώ

token = τʼ   lemma = σύ

token = τʼ   lemma = σύ

token = Χορός   lemma = χορός

token = με   lemma = ἐγώ

token = σὸν   lemma = σός

token = μάρπτις   lemma = μάρπτις

token = μάρπτι   lemma = μάρπτις

token = ἰόφ   lemma =  Search corpus for this form only: ἰόφ

token = ὀμ   lemma =  Search corpus for this form only: ὀμ

token = κάκκας   lemma = κάκκη

token = δυϊαν   lemma =  Search corpus for this form only: δυϊαν

token = χλιδᾷ   lemma = χλιδάω

token = ναῒ   lemma = ναῦς

token = ριν   lemma =  Search corpus for this form only: ριν

token = ὀλύμεναι   lemma =  Search corpus for this form only: ὀλύμεναι

token = ὀλόμενʼ   lemma = ὄλλυμι

token = ἐπαμίδα   lemma =  Search corpus for this form only: ἐπαμίδα

token = Χορός   lemma = χορός

token = αἵμονες   lemma = αἵμων

token = ἐπάμιδα   lemma =  Search corpus for this form only: ἐπάμιδα

token = ησυδουπιάπιτα   lemma =  Search corpus for this form only: ησυδουπιάπιτα

token = Κῆρυξ   lemma = κῆρυξ

token = τʼ   lemma = σύ

token = δόρυ   lemma = δόρυ

token = Χορός   lemma = χορός

token = ἐγὼ   lemma = ἐγώ

token = Κῆρυξ   lemma = κῆρυξ

token = σὺ   lemma = σύ

token = βαθυμιτροκακὰ   lemma =  Search corpus for this form only: βαθυμιτροκακὰ

token = παθῶν   lemma = πάθη

token = ὀλόμεναι   lemma =  Search corpus for this form only: ὀλόμεναι

token = Χορός   lemma =  Search corpus for this form only: Χορός

token = διʼ   lemma = διά

token = ἀλαθεὶς   lemma = ἀλάομαι

token = Κῆρυχ   lemma =  Search corpus for this form only: Κῆρυχ

token = ὑπερθορῇ   lemma = ὑπερθρῴσκω

token = Χορός   lemma = χορός

token = σʼ   lemma = σός

token = σʼ   lemma = σός

token = ἀποτρέ   lemma =  Search corpus for this form only: ἀποτρέ

token = ψειεν   lemma =  Search corpus for this form only: ψειεν

token = Κῆρυξ   lemma = κῆρυξ

token = οὐδάμʼ   lemma = οὐδαμά

token = Χορός   lemma = χορός

token = μʼ   lemma = ἐγώ

token = ἄραχνος   lemma = ἄραχνος

token = φοβερὸν   lemma = φοβερός

token = Κῆρυξ   lemma = κῆρυξ

token = μʼ   lemma = ἐγώ

token = Χορός   lemma = χορός

token = ὄφις   lemma = ὄφις

token = μέ   lemma = ἐγώ

token = δακοῦσʼ   lemma = δάκνω

token = φοβερὸν   lemma = φοβερός

token = ἄσεπτʼ   lemma = ἄσεπτος

token = θαρσεῖτʼ   lemma = θαρσέω

token = ἐρεῖτʼ   lemma = λέγω

token = ἀποσπάσας   lemma = ἀποσπάω

token = τήνδʼ   lemma = ὅδε

token = ἀλλʼ   lemma = ἀλλά

token = πόλλʼ   lemma = πολύς

token = ἐμοὶ   lemma = ἐγώ

token = τἄμʼ   lemma = ἐγώ

token = θεοὺς   lemma = θεός

token = οὐδέν   lemma = οὐδείς

token = ἐγὼ   lemma = ἐγώ

token = ἄγοιμʼ   lemma = ἄγω

token = λέγοιμʼ   lemma = λέγω

token = παισὶν   lemma = παῖς

token = τοῦτʼ   lemma = οὗτος

token = ἀλλʼ   lemma = ἀλλά

token = τίνος   lemma = τίς

token = τʼ   lemma = σύ

token = σοι   lemma = σύ

token = τοὔνομʼ   lemma = ὄνομα

token = σύ   lemma = σύ

token = τʼ   lemma = σύ

token = ξυνέμποροι   lemma = συνέμπορος

token = κατʼ   lemma = κατά

token = μία   lemma = εἷς

token = ταῦτʼ   lemma = οὗτος

token = οὐδʼ   lemma = οὐδέ

token = κατεσφραγισμένα   lemma = κατασφραγίζω

token = τάχιστʼ   lemma = ταχύς

token = ἄρσεσιν   lemma = ἄρσην

token = ἀλλʼ   lemma = ἀλλά

token = ἄρσενάς   lemma = ἄρσην

token = ὑμεῖς   lemma = ὑμεῖς

token = δώματʼ   lemma = δῶμα

token = δεδωμάτωμαι   lemma = δωματόομαι

token = ἐγὼ   lemma = ἐγώ

token = ἐγὼ   lemma = ἐγώ

token = ἀλλʼ   lemma = ἀλλά

token = τʼ   lemma = σύ

token = ἐφʼ   lemma = ἐπί

token = θʼ   lemma = σύ

token = μου   lemma = ἐγώ

token = ἐμοὶ   lemma = ἐγώ

token = ʼξ   lemma = ἐκ

token = ἀείζων   lemma = ἀείζωος

token = ταῦθʼ   lemma = οὗτος

token = ἀγνῶθʼ   lemma = ἀγνώς

token = τʼ   lemma = σύ

token = ὑμᾶς   lemma = ὑμεῖς

token = ἐμέ   lemma = ἐγώ

token = τήνδʼ   lemma = ὅδε

token = καλωρα   lemma =  Search corpus for this form only: καλωρα

token = θωσμένειν   lemma =  Search corpus for this form only: θωσμένειν

token = μηδʼ   lemma = μηδέ

token = ἡμῖν   lemma = ἡμεῖς

token = τἄλλʼ   lemma = ἄλλος

token = Χορός   lemma = χορός

token = Δαναΐδων   lemma = Δαναΐς

token = θεοὺς   lemma = θεός

token = χεῦμʼ   lemma = χεῦμα

token = Χορός   lemma = χορός

token = Δαναΐδων   lemma = Δαναΐς

token = μηδʼ   lemma = μηδέ

token = ὑπʼ   lemma = ὑπό

token = στυγίων   lemma = Στύγιος

token = Χορός   lemma = χορός

token = Θεραπαινῶν   lemma = θεράπαινα

token = ὅδʼ   lemma = ὅδε

token = θεὸς   lemma = θεός

token = μετάκοινοι   lemma = μετάκοινος

token = φίλᾷ   lemma = φίλος

token = ματρὶ   lemma = μήτηρ

token = τʼ   lemma = σύ

token = οὐδὲν   lemma = οὐδείς

token = Πειθοῖ   lemma = πειθώ

token = τʼ   lemma = σύ

token = Χορός   lemma = χορός

token = Θεραπαινῶν   lemma = θεράπαινα

token = τʼ   lemma = σύ

token = ἄλγη   lemma = ἄλγος

token = γένοιτʼ   lemma = γίγνομαι

token = Δαναΐς   lemma = Δαναΐς

token = μοι   lemma = ἐγώ

token = Θεράπαινα   lemma = θεράπαινα

token = Δαναΐς   lemma = Δαναΐς

token = Θεράπαινα   lemma = θεράπαινα

token = γʼ   lemma = γε

token = Δαναΐς   lemma = Δαναΐς

token = Θεράπαινα   lemma = θεράπαινα

token = Δαναΐς   lemma = Δαναΐς

token = τίνα   lemma = τίς

token = με   lemma = ἐγώ

token = Θεράπαινα   lemma = θεράπαινα

token = μηδὲν   lemma = μηδείς

token = Χορός   lemma = χορός

token = ἀποστεροί   lemma =  Search corpus for this form only: ἀποστεροί

token = η   lemma = η

token = ἐλύσατʼ   lemma = λύω

token = Χορός   lemma = χορός

token = ξίν   lemma =  Search corpus for this form only: ξίν

token = ἕπε   lemma =  Search corpus for this form only: ἕπε

token = σθαι   lemma =  Search corpus for this form only: σθαι

token = ἀρθέντʼ   lemma = ἀραρίσκω

token = προστομίων   lemma = προστόμιον

token = λεπτοψαμάθων   lemma = λεπτοψάμαθος

token = Δίαν   lemma = Δῖος

token = λιποῦσαι   lemma = λείπω

token = ἐφʼ   lemma = ἐπί

token = ἀλλʼ   lemma = ἀλλά

token = ʼξʼονοταζόμεναι   lemma =  Search corpus for this form only: ʼξʼονοταζόμεναι

