,line,token,lemma
160,1128,ἐμψύχων,ἔμψυχος
161,1140,ἀναπλάσας,ἀναπλάσσω
162,1146,ἀπαντήσασιν,
163,1151,Ἴων,Ἴος
164,1159,Χίου,Χίος
165,1160,κεράμιον,κεράμιον
166,1168,<ἂν>,
167,1202,λαμπροῖσι,λαμπρός
168,1206,πεινῆν,πεινάω
169,1214,ʼ,
170,1222,Ἀκαδημαικὸς,
171,1233,Ἀκραγαντῖνος,Ἀκραγαντῖνος
172,1240,πολυωρῶν,πολυωρέω
173,1247,καταλύσασιν,
174,1259,τρεχέδειπνος,
175,1265,Κλέαρχός,
176,1269,ʼΧάρμον,
177,1272,εὐτρεπίσθαι,
178,1273,στιχίδια,
179,1282,παρατιθεμένων,παρατίθημι
180,1287,ἰχθύν,ἰχθύς
181,1291,Αἰγαῖον,Αἰγαῖος
182,1318,ἑλικτὰ,ἑλικτός
183,1328,ὠνθυλευμένην,
184,1333,σοφὴ,σοφός
185,1344,ἑψητοῖς,
186,1348,ἀπ᾽,
187,1356,ἀποδεδαρμένην,
188,1357,ἔγχελυν,ἔγχελυς
189,1361,βοστρυχώδεα,
190,1365,ʼ,
191,1370,Λαρηνσίου,
192,1380,στρωματοδέσμων,
193,1395,πρόχειρον,πρόχειρον
194,1398,προείρηται,προαγορεύω
195,1405,Μεσσηνίοις,Μεσσήνιος
196,1411,Καλλιφάνης,
197,1414,Παραβρύκοντος,
198,1419,<καὶ,
199,1420,λόγων>,
200,1421,ἐκγραψάμενος,
201,1422,ἀνειλήφει,
202,1424,τριῶν,τρεῖς
203,1426,τεσσάρων,τέσσαρες
204,1429,πολυμαθείας,πολυμάθεια
205,1443,Σικελικῷ,Σικελικός
206,1444,μυραίνας,
207,1451,Παχυνικῶν,
208,1454,ἠτριαίας,
209,1463,Σκιάθῳ,Σκίαθος
210,1464,κεστρέας,κεστρεύς
211,1468,ἀδόξων,ἄδοξος
212,1471,Πελωρίδας,
213,1472,κόγχας,κόγχη
214,1476,Λιπάρας,Λιπάρα
215,1481,γογγυλίδα,
216,1486,βουνιάδας,
217,1489,παρ᾽,
218,1490,Ἀσκραίοις,
219,1496,Ταραντῖνος,Ταραντῖνος
220,1509,ἔμμετρα,ἔμμετρος
221,1516,Σικελός,Σικελός
222,1521,‘,
223,1527,πέρδικος,πέρδιξ
224,1530,’,
225,1536,πλακοῦντά,
226,1540,’,
227,1546,εὐσταθεῖς,
228,1549,ἐγχειρογάστορες,
229,1551,‘,
230,1552,γυργάθους,
231,1562,ʼ,
232,1568,Γελῷος,Γελῷος
233,1574,Γαστρονομίᾳ,
234,1581,Ἡδυπαθείᾳ,ἡδυπάθεια
235,1586,Δειπνολογίᾳ,
236,1589,δ᾽,δ᾽
237,1591,Ὀψοποιίᾳ,
238,1601,ʽ,
239,1604,ʼ,
240,1615,ʼ,
241,1618,μιᾷ,εἷς
242,1621,ἁβρόδαιτι,
243,1625,δ᾽,δ᾽
244,1627,τρεῖς,τρέω
245,1631,ξυνάπαντες,
246,1644,ἁρπαξιβίων,
247,1649,δ᾽,δ᾽
248,1655,συσσιτίῳ,συσσίτιον
249,1656,ὀκτὼ,ὀκτώ
250,1663,<πρὸσ>,
251,1670,ἀφορῶσιν,ἀφοράω
252,1671,<ἀεὶ>,
253,1676,ταῦτ᾽,
254,1697,θ᾽,θ᾽
255,1707,ἀκλήτοις,
256,1708,προκατακόπτειν,
257,1711,—,
258,1740,ῥᾴδιον,ῥᾴδιος
259,1743,δείπνων,δεῖπνον
260,1749,Τιμαχίδας,
261,1752,δι᾽,
262,1755,ἕνδεκα,ἕνδεκα
263,1761,Νουμήνιος,Νουμήνιος
264,1762,<ὁ>,
265,1763,Ἡρακλεώτης,Ἡρακλεώτης
266,1766,Διεύχους,
267,1772,Ματρέας,
268,1774,Πιταναῖος,
269,1776,παρῳδὸς,
270,1783,Φακῆ,φακῆ
271,1789,τινὲς,τις
272,1790,ἐντάττουσιν,
273,1795,Ψευδαριστοφάνειος,
274,1796,ὀψαρτυτικὰς,
275,1804,Λευκαδίου,
276,1805,Δείπνου,
277,1808,κωμῳδιοποιὸς,
278,1814,ἐγὼ,ἐγώ
279,1815,δ᾽,
280,1816,ἐνθάδ᾽,
281,1829,δ᾽,δ᾽
282,1832,σε,σύ
283,1840,ὀψαρτυσία,
284,1845,ἔστ᾽,
285,1850,‘,
286,1856,δ᾽,δ᾽
287,1870,κράτιστον,κράτιστος
288,1871,ἐνταυθὶ,ἐνταῦθα
289,1875,‘,
290,1878,σποδιᾷ,σποδιά
291,1884,διάτρωγε,
292,1899,δ᾽,δ᾽
293,1901,τέκν᾽,
294,1910,λοπὰς,
295,1916,τάγηνον,τάγηνον
296,1922,μετ᾽,
297,1923,ὀλίγα,ὀλίγος
298,1925,ὀρφὼν,
299,1926,αἰολίαν,Αἰόλιος
300,1927,συνόδοντά,
301,1929,καρχαρίαν,
302,1931,μὴ,μή
303,1935,σοι,σύ
304,1940,ἀλλ᾽,
305,1950,πλεκτὴ,
306,1951,δ᾽,δ᾽
307,1954,πιλήσῃς,
308,1958,ἑφθὴ,ἑφθός
309,1960,ὀπτῆς,ὀπτός
310,1970,ὀπταὶ,
311,1972,δύ᾽,
312,1973,ὦσ᾽,
313,1975,ἑφθῇ,
314,1979,τρίγλη,τρίγλη
315,1980,δ᾽,δ᾽
316,1984,ἐπιήρανος,
317,1992,στύματα,
318,1998,παίσειέ,
319,2000,σου,σύ
320,2010,Φιλοξένειοί,
321,2021,ἐγὼ,ἐγώ
322,2023,τινὰ,τις
323,2035,γινομένοις,γίγνομαι
324,2040,βαλανείοις,βαλανεῖον
325,2048,καθιέντα,καθίημι
326,2055,ἀναγαργαριζόμενον,
327,2059,δηλονότι,δηλονότι
328,2071,ὀψοποιοῦντας,
329,2072,ὑποποιεῖσθαι,ὑποποιέω
330,2076,παρατιθῶσι,
331,2079,καταναλίσκῃ,
332,2085,δυναμένων,δύναμαι
333,2087,’,
334,2089,δ᾽,δ᾽
335,2101,πλειόνων,πολύς
336,2106,Κρωβύλῳ,
337,2113,ʼ,
338,2114,ἐγὼ,ἐγώ
339,2119,ταῦθ᾽,
340,2123,δήπουθεν,δήπουθεν
341,2124,Ἰδαίους,Ἰδαῖος
342,2128,λάρυγγ᾽,
343,2130,πυριῶ,
344,2131,τεμαχίοις,
345,2133,κάμινος,κάμινος
346,2143,ʼΦιλόξενον,
347,2144,προλουόμενον,
348,2145,<ἐν>,
349,2149,ἄλλαις,ἄλλος
350,2150,πόλεσι>,
351,2151,περιέρχεσθαι,
352,2162,ἔλαιον,ἔλαιον
353,2164,γάρον,γάρον
354,2174,ἀλλοτρίας,ἀλλότριος
355,2179,ἄλλοις,ἄλλος
356,2186,κἆθ᾽,
357,2188,<εἰς,
358,2189,ἑαυτὸν>,
359,2190,κύψαντα,κύπτω
360,2199,ὀψοπώλιδα,
361,2211,συνηγόρασται,
362,2223,ᾄσας,ἀείδω
363,2230,Γάμε,
364,2232,λαμπρότατε’,
365,2248,Φιλόξενε,
366,2263,ὄψον,ὄψον
367,2268,πωλῇ,πωλέομαι
368,2271,’,
369,2278,ʼ,
370,2279,‘,
371,2284,Ἐρύξιδος,Ἔρυξις
372,2292,ἐπιμεμφόμενος,ἐπιμέμφομαι
373,2298,ηὔξατό,εὔχομαι
374,2315,ἐλέφαντα,ἐλέφας
375,2331,σφοδρότεραι,σφοδρός
376,2341,’,
377,2344,Μελάνθιόν,
378,2348,ʼτοῦτ᾽,
379,2372,ἡδέων,ἡδύς
380,2377,ἀπολαύσεων,ἀπόλαυσις
381,2381,μακραύχενος,μακραύχην
382,2387,ἵν᾽,
383,2391,ἡδέσιν,ἡδύς
384,2394,’,
385,2398,Πίθυλλον,
386,2400,Τένθην,
387,2403,περιγλωττίδα,
388,2404,μόνον,μόνος
389,2405,ὑμενίνην,
390,2410,προσελυτροῦν,
391,2419,ἰχθύαν,
392,2421,ἀπεκάθαιρεν,
393,2425,δ᾽,δ᾽
394,2428,ἀπολαυστικῶν,
395,2437,ἵν᾽,
396,2442,ἀναδιδῷ,
397,2444,γλώττῃ,γλῶσσα
398,2446,’,
399,2449,φίλιχθυν,
400,2451,Φιλόξενόν,φιλόξενος
401,2456,φιλόδειπνον,
402,2467,ʼ,
403,2468,‘,
404,2473,κατατρίβουσιν,
405,2485,Φάσιδος,Φᾶσις
406,2491,οὐδὲν,οὐδείς
407,2496,Δεῖπνον,δεῖπνον
408,2500,’,
409,2501,Φαινίας,
410,2505,ʼ,
411,2506,ʼὅτι,
412,2526,τρῖγλαν,
413,2527,παρατεθεῖσαν,
414,2547,τίνος,τίς
415,2559,βούλοιτό,βούλομαι
416,2561,παρ᾽,
417,2570,ἠρωτημένην,
418,2574,ἁλοίη,ἁλίσκομαι
419,2584,παρατεθεῖσαν,
420,2601,τρῖγλαν,
421,2603,παρακειμένην,παράκειμαι
422,2606,συνεμέθυε,
423,2646,ὑποστησάμενος,
424,2650,αὐλητρίδα,αὐλητρίς
425,2654,δ᾽,δ᾽
426,2659,ʼ,
427,2668,Ἀπίκιος,
428,2670,πλουσιώτατος,πλούσιος
429,2671,τρυφητής,
430,2673,ἀφ᾽,
431,2678,Ἀπίκια,
432,2689,Μιντούρναις,Μιντοῦρναι
433,2690,ʽπόλις,
434,2692,Καμπανίασ̓,
435,2696,καρίδας,
436,2713,ἀστακούς,
437,2716,<οὖν>,
438,2721,ὑπερμεγέθεις,ὑπερμεγέθης
439,2723,οὐδ᾽,
440,2725,μίαν,εἷς
441,2743,ʽπολλὴ,
442,2744,δ᾽,δ᾽
443,2751,αὐτοὖ,
444,2754,ἁλιεῖς,ἁλίζω
445,2759,καρίδας,
446,2761,ὃ,ὁ
447,2762,δ᾽,δ᾽
448,2769,εἰπόντων,λέγω
449,2779,Μιντούρναις,Μιντοῦρναι
450,2790,προσπελάσαντι,
451,2795,δ᾽,δ᾽
452,2807,ἀφ᾽,
453,2813,Ἀριστόξενος,Ἀριστόξενος
454,2815,σκευαζόμενος,
455,2826,γινομένας,γίγνομαι
456,2827,θριδακίνας,θριδακίνη
457,2828,οἰνομέλιτι,οἰνόμελι
458,2834,ἕω,ἠώς
459,2843,ἀναπεμπομένους,
460,2846,Τραιανῷ,
461,2851,Παρθίᾳ,
462,2857,ἡμερῶν,ἡμέρα
463,2858,παμπόλλων,πάμπολυς
464,2860,Ἀπίκιος,
465,2867,τεθησαυρισμένα,
466,2876,ἐπιθυμήσαντι,
467,2878,ʽμακρὰν,
468,2884,θαλάσσησ̓,
469,2885,μάγειρός,μάγειρος
470,2887,μιμησάμενος,μιμέομαι
471,2893,ἀφύας,ἀφύη
472,2898,παρ᾽,
473,2902,μάγειρός,μάγειρος
474,2908,ἐγὼ,ἐγώ
475,2911,Σωτηρίδου,
476,2921,ἡμερῶν,ἡμέρα
477,2924,ἐπιθυμήσαντι,
478,2928,νὴ,νή
479,2929,Δί᾽,
480,2933,ἀνακραγεῖν,ἀνακράζω
481,2938,τοῦτ᾽,
482,2941,θήλειαν,θάλλω
483,2943,γογγυλίδα,
484,2945,ἔτεμε,τέμνω
485,2946,λεπτὰ,λεπτόν
486,2947,<καὶ,
487,2948,μακρὰ>,
488,2954,μιμούμενος,μιμέομαι
489,2961,ἅλας,ἅλας
490,2965,μήκωνος,μήκων
491,2970,τετταράκοντα,τεσσαράκοντα
492,2983,γογγυλίδα,
493,2984,μασώμενος,μασάομαι
494,2986,τοτ᾽,
495,3017,ʼὡς,
496,3018,ἀκλήτου,
497,3019,ἐπεισπαίοντος,
498,3023,Μυκονίων,
499,3027,δ᾽,δ᾽
500,3029,Μυκόνιοι,
501,3038,γλισχρότητι,
502,3054,‘,
503,3057,<σύγ᾽>,
504,3060,<τοῦ>,
505,3061,Μυκονίου,
506,3072,ἑστιασόμενος,
507,3093,τῖμον,
508,3095,<οὔτε,
509,3116,σ᾽,σ᾽
510,3132,ʼ,
511,3155,ἕνα,ἕνος
512,3170,τρεῖς,τρέω
513,3175,κληθέντ᾽,
514,3179,τινος,τις
515,3186,ὁπηνίκ᾽,
516,3204,μακροτέρας,μακρός
517,3205,δ᾽,δ᾽
518,3210,δυοῖν,δύο
519,3219,ὀψιαίτερον,ὄψιος
520,3224,παρόνθ᾽,
521,3225,ἅμ᾽,
522,3229,ἀσυμβόλου,
523,3233,ὑστερεῖ,ὑστερέω
524,3242,Ἄμφις,Ἄμφις
525,3249,ʼ,
526,3255,κώθωνα,κώθων
527,3257,παραλίμπανε,
528,3259,κώθων,Κώθων
529,3260,δ᾽,δ᾽
530,3262,παραλειπτὸς,
531,3266,διωκτός,
532,3274,ʼ,
533,3288,λογίσμασι,
534,3299,μ᾽,μ᾽
535,3306,μάσημα,
536,3319,προμελετήσας,
537,3322,κἀγὼ,ἐγώ
538,3324,στεγανόμιον,
539,3336,μονοφαγεῖν,
540,3344,ʽ,
541,3347,ʼ,
542,3350,μονοφαγεῖς,
543,3355,βλάπτεις,βλάπτω
544,3356,ἐμέ,ἐγώ
545,3358,Ἀμειψίας,Ἀμειψίας
546,3362,ʼ,
547,3363,ἔρρ᾽,
548,3367,μονοφάγε,
549,3369,τοιχωρύχε,τοιχωρύχος
550,3394,βουλόμενος,βούλομαι
551,3398,ἀπ᾽,
552,3401,ἐφεξῆς,ἐφεξῆς
553,3413,ἀναλίσκωσι,
554,3416,εὐεργετικοὶ,
555,3428,αὐτάρκη,αὐτάρκης
556,3430,λογιζόμενος,λογίζομαι
557,3436,ἰσχυροτάτας,ἰσχυρός
558,3438,<καὶ,
559,3444,τὰσ>,
560,3452,διαμεμενηκότας,
561,3466,ἀποδέδωκε,ἀποδίδωμι
562,3480,<λέγων,
563,3489,δ᾽,δ᾽
564,3497,ʼ,
565,3510,ὀπτῶν,ὀπτάω
566,3516,βοείων,βόειος
567,3524,οὔτ᾽,
568,3527,οὔτ᾽,
569,3534,καίτοι,καίτοι
570,3539,δειπνίζοντα,
571,3541,ἀρίστουσ>,
572,3545,θρῖα,θρῖον
573,3547,κάνδυλον,
574,3549,ἄμητας,
575,3550,μελίπηκτά,
576,3558,ἀλλ᾽,
577,3559,ἀφ᾽,
578,3566,καὶ,καί
579,3577,βοῶν,βόα
580,3585,δ᾽,δ᾽
581,3591,ʼκαὶ,
582,3598,ʼκρέας,
583,3602,ἀφιστῶν,
584,3606,ἐπιθυμιῶν,ἐπιθυμία
585,3616,<τοὺς,
586,3617,τρυφερωτάτους,
587,3641,τραπέζασ>,
588,3651,<καὶ,
589,3656,παραγενομένου>,
590,3658,βοὸς,βοῦς
591,3660,<ὄπτ᾽,
592,3663,ἑλών>,
593,3684,οἰκειοτάτων,οἰκεῖος
594,3694,<τάδε,
595,3695,παρακελευόμενος,παρακελεύομαι
596,3697,ἀλλ᾽,
597,3698,ἄγ᾽,
598,3702,πεδίονδ᾽,
599,3708,ἑξῆσ>,
600,3717,προσφιλεστέρα,προσφιλής
601,3735,ἀνειμένους,ἀνίημι
602,3743,μελίπηκτα,μελίπηκτον
603,3749,μαγειρικὰς,
604,3750,μαγγανείας,μαγγανεία
605,3756,Μένανδρός,
606,3762,ὑποβινητιῶντα,
607,3768,λασταυροκάκαβον,
608,3775,<ἐν,
609,3780,ἡδονῆσ>,
610,3785,περιεργοτέρα,
611,3802,ἠδ᾽,
612,3812,ʼκαὶ,
613,3813,κεκωλῦσθαι,κωλύω
614,3815,ἀπέκτου,
615,3816,ἀρνὸς,ἀρήν
616,3817,μηδένα,μηδείς
617,3820,ἐπιλιπούσης,ἐπιλείπω
618,3835,ʼκαὶ,
619,3838,πλωτικωτάτους,
620,3865,καταριθμῶν,καταριθμέω
621,3875,οὐδένα,οὐδείς
622,3881,οὐδ᾽,
623,3883,παρατίθησί,
624,3884,τινι,τις
625,3903,ἐπ᾽,
626,3912,στεφανουμένους,
627,3914,μυρουμένους,
628,3918,θυμιῶντας,
629,3960,στεφάνους,στέφανος
630,3969,ἁπλῆς,ἁπλόος
631,3978,ἀλλ᾽,
632,3988,αὐτὰρ,ἀτάρ
633,4004,οἳ,
634,4006,ἐξώρμων,ἐξορμάω
635,4010,δίσκοισι,
636,4013,αἰγανέαις,
637,4023,ἐκμελετῶντες,ἐκμελετάω
638,4028,ἠκροῶντο,ἀκροάομαι
639,4069,ʼ,
640,4070,ʼΜαχάονι,
641,4073,τετρωμένῳ,τιτρώσκω
642,4087,Πράμνειον,Πράμνειος
643,4093,πολύτροφον,
644,4094,ʽοὐ,
645,4098,ἀλλ᾽,
646,4099,ἐμφορήσεως,
647,4109,‘,
648,4118,<πῖνε>,
649,4119,καθήμενοσ,
650,4124,ἐπιξύοντα,
651,4130,κρόμυον,κρόμμυον
652,4141,καίτοι,καίτοι
653,4146,ʼτὸν,
654,4152,ἀπογυιοῦν,
655,4161,ʼοἰομένη,
656,4172,προτρεπομένη,
657,4174,θυμηδίαν,θυμηδία
658,4177,δ᾽,δ᾽
659,4205,ὃ,ὁ
660,4207,καθῃμαγμένος,
661,4209,ἡγεῖται,ἡγέομαι
662,4223,<ἐν>,
663,4247,ζωρότερον,ζωρός
664,4248,κεραίρειν,
665,4249,διέστειλε,
666,4256,τινὸς,τις
667,4257,καθημερινῆς,καθημερινός
668,4265,εὐδιαφόρητον,
669,4282,καρδιακοῖς,
670,4285,σιτῶδες,σιτώδης
671,4286,ἀναμίσγουσί,
672,4293,ἀλλ᾽,
673,4298,μετ᾽,
674,4307,δ᾽,δ᾽
675,4321,ʼ,
676,4324,κ᾽,κ᾽
677,4333,κωθωνιζομένῳ,
678,4336,ἡδύποτον,
679,4358,λουούσας,
680,4372,ἁπτομένας,ἅπτω
681,4418,ʼ,
682,4423,λέοντας,λέων
683,4429,ἐπακολουθήσαντας,
684,4451,κατακρημνίζει,
685,4455,δ᾽,δ᾽
686,4496,ἀπόλλυνται,ἀπόλλυμι
687,4524,ʼὑπομείναντα,
688,4530,παραπολλύμενον,
689,4543,ἀλλ᾽,
690,4554,μ᾽,μ᾽
691,4556,θεοὶ,θεός
692,4565,μέθην,μέθη
693,4569,ʽοὕτω,
694,4579,μαθητήσ̓,
695,4584,δ᾽,δ᾽
696,4596,κυνὸς,κύων
697,4597,ὄμματ᾽,
698,4601,ταῦτ᾽,
699,4604,Θετταλὸν,Θεσσαλός
700,4613,δ᾽,δ᾽
701,4624,<οἱ>,
702,4626,παρ᾽,
703,4632,ἀκρατίσματι,
704,4647,‘,
705,4652,ἐντύνοντ᾽,
706,4654,κειαμένω,
707,4666,ἐντύνοντ᾽,
708,4672,πρωινὸν,
709,4673,ἔμβρωμα,
710,4676,ἡμεῖς,ἡμεῖς
711,4677,ἀκρατισμὸν,
712,4693,ʼ,
713,4705,εἶτ᾽,
714,4708,συνακρατίσασθαι,
715,4711,μετ᾽,
716,4716,ʽ,
717,4721,ἀκρατισώμεθ᾽,
718,4726,Ἰσθμοῖ,ἰσθμός
719,4731,ʽ,
720,4735,ἀκρατιοῦμαι,
721,4738,εἶθ᾽,
722,4746,ἀποδακών,ἀποδάκνω
723,4753,δ,ΑΒΓ
724,4759,ἀκρατίσματι,
725,4763,ἑσπερίσματι,
726,4770,ἀκρατισμὸν,
727,4771,διανηστισμὸν,
728,4775,δ᾽,δ᾽
729,4783,δορπηστόν,
730,4788,ἐπιδορπίδα,
731,4791,δ᾽,δ᾽
732,4795,παρ᾽,
733,4796,Αἰσχύλῳ,Αἰσχύλος
734,4810,ταξιάρχας,ταξιάρχης
735,4812,στρατάρχας,στρατάρχης
736,4814,ἑκατοντάρχας,ἑκατοντάρχης
737,4818,δ᾽,δ᾽
738,4823,δεῖπνα,δεῖπνον
739,4826,δ᾽,δ᾽
740,4840,ʼ,
741,4841,‘,
742,4843,δ᾽,δ᾽
743,4845,δειελιήσασ’,
744,4854,μεταξὺ,μεταξύ
745,4856,ὑφ᾽,
746,4879,ἡμεῖς,ἡμεῖς
747,4890,συνωνυμεῖ,
748,4899,πρωινῆς,
749,4906,ʼ,
750,4909,δ᾽,δ᾽
751,4915,δ᾽,δ᾽
752,4919,’,
753,4925,δειπνοποιησάμενοι,δειπνοποιέω
754,4933,παρ᾽,
755,4935,καθήμενοι,κάθημαι
756,4944,κατ᾽,
757,4955,ἀφικομένῳ,ἀφικνέομαι
758,4960,παρακειμένων,παράκειμαι
759,4961,ξεστὴ,
760,4974,προκειμένου,πρόκειμαι
761,4975,κατασκευαστικόν,
762,4987,παρ᾽,
763,5001,βαρβάρων,βάρβαρος
764,5017,ʼ,
765,5032,δέπα,δέπας
766,5036,ʼ,
767,5037,ἰδιάζον,ἰδιάζω
768,5053,εἶτ᾽,
769,5054,ἀπονιψαμένους,ἀπονίζω
770,5061,μεμνημένους,μιμνήσκω
771,5064,ʼμετὰ,
772,5089,ἀναγνωστέον,
773,5116,πενθοῦντι,πενθέω
774,5121,εὐωχουμένοις,
775,5122,παρ᾽,
776,5127,παρετίθεντο,παρατίθημι
777,5131,ἄρτοι,ἄρτος
778,5134,κανοῖς,κάνεον
779,5138,δεῖπνα,δεῖπνον
780,5142,ὀπτά,ὀπτός
781,5144,‘,
782,5152,οὐδ᾽,
783,5155,οὐδ᾽,
784,5158,ὤπτα,ὀπτάω
785,5165,σφόδρ᾽,
786,5184,ἐίσας,ἴσος
787,5194,δεῖπνα,δεῖπνον
788,5199,δατεῖσθαι,
789,5205,διανεμομένων,διανέμω
790,5223,χαῖρ᾽,
791,5235,δ᾽,δ᾽
792,5259,ἐίσην,
793,5276,ἐπ᾽,
794,5308,ἐξημάρτανον,ἐξαμαρτάνω
795,5323,διένεμον,διανέμω
796,5341,πέμματός,
797,5345,διαμεμοιραμένου,
798,5348,διαπίνουσιν,
799,5349,ἄλεισα,ἄλεισον
800,5355,<τὸ>,
801,5363,δαὶς,δαίς
802,5371,διαμοιρᾶσθαι,
803,5372,ἐπ᾽,
804,5379,ὀπτῶν,ὀπτάω
805,5390,μόνων,μόνος
806,5413,κατ᾽,
807,5423,οἰωνοῖσί,οἰωνός
808,5429,γυπῶν,γύπη
809,5441,<εἰσ>,
810,5456,:,
811,5467,παρ᾽,
812,5477,παρ᾽,
813,5492,ἀφίκηται,ἀφικνέομαι
814,5519,ὄρνιθάς,ὄρνις
815,5522,θ᾽,θ᾽
816,5524,τι,τις
817,5528,ἀγκίστροισιν,ἄγκιστρον
818,5534,Θρινακίᾳ,
819,5535,ἐκεχάλκευτο,
820,5539,ἀλλ᾽,
821,5543,πλῷ,πλόος
822,5544,δηλονότι,δηλονότι
823,5560,ʼτοὺς,
824,5567,προμήκει,προμήκης
